t_ms pacing_bps cwnd rtt_ms raw_pacing
0 97250656 7 27.326 97250656bps
0 97250656 9 54.327 97250656bps
0 97250656 9 74.293 97250656bps
0 121563328 12 96.387 121563328bps
0 121563328 12 114.627 121563328bps
1000 88133408 9 124.334 88133408bps
1000 86369464 8 116.619 86369464bps
1000 86369464 8 109.177 86369464bps
1000 86369464 8 106.766 86369464bps
1000 86369464 8 107.937 86369464bps
1000 107961832 10 108.367 107961832bps
1000 107961832 10 118.022 107961832bps
2000 107961832 10 125.619 107961832bps
2000 40901072 7 121.312 40901072bps
2000 45132216 7 106.921 45132216bps
2000 45132216 7 96.67 45132216bps
2000 45132216 7 94.234 45132216bps
2000 56415272 8 89.319 56415272bps
2000 56415272 8 96.593 56415272bps
3000 56415272 8 99.605 56415272bps
3000 45132216 6 101.781 45132216bps
3000 39908008 7 90.978 39908008bps
3000 39908008 7 87.227 39908008bps
3000 41268160 7 85.485 41268160bps
3000 41268160 7 86.931 41268160bps
3000 51585200 9 88.167 51585200bps
4000 56106144 9 99.49 56106144bps
4000 44915832 7 104.124 44915832bps
4000 44915832 7 95.327 44915832bps
4000 44915832 7 95.529 44915832bps
4000 44915832 7 91.815 44915832bps
4000 44915832 7 91.774 44915832bps
4000 56144792 9 94.884 56144792bps
5000 56144792 9 108.87 56144792bps
5000 56144792 9 111.792 56144792bps
5000 44915832 4 91.634 44915832bps
5000 44915832 4 70.716 44915832bps
5000 44915832 7 64.106 44915832bps
5000 44915832 7 76.555 44915832bps
5000 44915832 7 83.079 44915832bps
5000 56144792 9 87.855 56144792bps
6000 56144792 9 90.505 56144792bps
6000 56144792 9 101.386 56144792bps
6000 50758288 9 89.969 50758288bps
6000 50758288 9 86.242 50758288bps
6000 50758288 9 106.544 50758288bps
6000 50758288 9 110.329 50758288bps
6000 50758288 9 112.974 50758288bps
7000 63447864 11 112.668 63447864bps
7000 63447864 11 126.358 63447864bps
7000 63447864 11 135.357 63447864bps
7000 45999696 9 136.565 45999696bps
7000 44915832 8 124.727 44915832bps
7000 44915832 8 99.97 44915832bps
7000 44915832 8 102.629 44915832bps
8000 45101304 8 101.796 45101304bps
8000 56376632 10 101.762 56376632bps
8000 56376632 10 116.919 56376632bps
8000 56376632 10 121.506 56376632bps
8000 45101304 6 117.147 45101304bps
8000 45101304 6 97.548 45101304bps
8000 48656240 6 81.619 48656240bps
9000 60820304 8 79.45 60820304bps
9000 60820304 8 94.781 60820304bps
9000 60820304 8 101.306 60820304bps
9000 44094720 6 103.15 44094720bps
9000 48656240 6 91.904 48656240bps
9000 48656240 6 81.165 48656240bps
9000 48656240 6 79.256 48656240bps
10000 60820304 8 81.051 60820304bps
10000 60820304 8 95.613 60820304bps
10000 44094720 10 108.297 44094720bps
10000 44094720 10 119.248 44094720bps
10000 51871136 4 89.896 51871136bps
10000 51871136 10 68.531 51871136bps
10000 51871136 10 72.912 51871136bps
11000 51871136 10 105.578 51871136bps
11000 51871136 10 117.666 51871136bps
11000 51871136 10 124.64 51871136bps
11000 51871136 10 128.11 51871136bps
11000 64838920 12 129.55 64838920bps
11000 64838920 13 134.061 64838920bps
11000 64838920 14 154.311 64838920bps
11000 64838920 14 163.328 64838920bps
12000 47008216 11 169.593 47008216bps
12000 47008216 11 158.555 47008216bps
12000 47008216 11 148.64 47008216bps
12000 47008216 11 145.767 47008216bps
12000 47008216 11 143.852 47008216bps
12000 51871136 11 144.949 51871136bps
12000 51871136 11 145.365 51871136bps
13000 64838920 14 144.273 64838920bps
13000 64838920 14 170.479 64838920bps
13000 64838920 14 171.571 64838920bps
13000 47008216 11 177.113 47008216bps
13000 39192192 12 158.027 39192192bps
13000 39192192 12 138.949 39192192bps
13000 39192192 12 125.882 39192192bps
14000 39192192 12 112.219 39192192bps
14000 54058192 14 105.444 54058192bps
14000 54058192 14 114.939 54058192bps
14000 54058192 14 142.359 54058192bps
14000 54058192 14 166.727 54058192bps
14000 39192192 11 175.131 39192192bps
14000 38043600 11 152.974 38043600bps
15000 38043600 11 123.102 38043600bps
15000 38043600 11 108.971 38043600bps
15000 41979144 11 98.111 41979144bps
15000 52473928 14 89.123 52473928bps
15000 52473928 14 95.512 52473928bps
15000 41979144 4 120.431 41979144bps
15000 46554192 4 116.924 46554192bps
16000 46554192 10 77.923 46554192bps
16000 46554192 10 79.119 46554192bps
16000 46554192 10 89.501 46554192bps
16000 46554192 10 114.014 46554192bps
16000 46554192 10 122.768 46554192bps
16000 46554192 10 126.585 46554192bps
16000 46554192 10 129.125 46554192bps
17000 58192744 12 130.52 58192744bps
17000 58192744 12 146.738 58192744bps
17000 58192744 12 152.166 58192744bps
17000 42189736 10 146.104 42189736bps
17000 42189736 10 140.099 42189736bps
17000 42189736 10 136.142 42189736bps
17000 42189736 10 133.442 42189736bps
18000 42189736 10 132.207 42189736bps
18000 46554192 10 132.093 46554192bps
18000 58192744 10 131.372 58192744bps
18000 58192744 10 131.284 58192744bps
18000 42189736 8 131.333 42189736bps
18000 35634360 10 113.985 35634360bps
18000 39908008 10 101.987 39908008bps
18000 39908008 11 81.426 39908008bps
19000 39908008 11 73.834 39908008bps
19000 49885008 13 73.319 49885008bps
19000 49885008 13 91.967 49885008bps
19000 49885008 13 118.233 49885008bps
19000 43215640 13 133.798 43215640bps
19000 43215640 13 108.653 43215640bps
19000 43215640 13 102.645 43215640bps
20000 43215640 13 113.306 43215640bps
20000 43215640 13 128.42 43215640bps
20000 54019552 16 142.316 54019552bps
20000 54019552 16 164.663 54019552bps
20000 54019552 16 197.179 54019552bps
20000 54019552 14 199.699 54019552bps
20000 39164176 11 181.958 39164176bps
21000 43215640 4 157.487 43215640bps
21000 43215640 4 98.2 43215640bps
21000 43215640 11 74.075 43215640bps
21000 43215640 11 59.309 43215640bps
21000 43215640 11 69.698 43215640bps
21000 54019552 12 80.442 54019552bps
21000 54019552 12 97.63 54019552bps
22000 54019552 13 133.753 54019552bps
22000 54019552 13 134.669 54019552bps
22000 46832400 14 148.886 46832400bps
22000 46832400 14 115.07 46832400bps
22000 46832400 14 123.4 46832400bps
22000 46832400 14 142.276 46832400bps
22000 46832400 14 165.01 46832400bps
23000 46832400 14 175.183 46832400bps
23000 46832400 14 178.968 46832400bps
23000 58540504 16 181.413 58540504bps
23000 58540504 13 198.74 58540504bps
23000 58540504 15 188.775 58540504bps
23000 58540504 15 185.229 58540504bps
23000 42441864 13 186.18 42441864bps
23000 41993632 12 171.569 41993632bps
24000 41993632 12 166.805 41993632bps
24000 41993632 12 156.484 41993632bps
24000 41993632 12 153.748 41993632bps
24000 41993632 12 154.196 41993632bps
24000 41993632 12 153.485 41993632bps
24000 46337808 12 150.606 46337808bps
24000 57922256 15 154.373 57922256bps
25000 57922256 14 148.983 57922256bps
25000 57922256 14 173.515 57922256bps
25000 57922256 14 177.473 57922256bps
25000 41993632 11 173.815 41993632bps
25000 39192192 11 146.898 39192192bps
25000 39192192 11 137.71 39192192bps
25000 39192192 11 123.646 39192192bps
26000 43246560 11 111.166 43246560bps
26000 54058192 14 104.622 54058192bps
