t_ms pacing_bps cwnd rtt_ms raw_pacing
0 129616024 10 48.661 129616024bps
0 129616024 10 56.15 129616024bps
0 162020032 14 71.367 162020032bps
0 162020032 14 95.827 162020032bps
0 162020032 14 120.689 162020032bps
1000 117464520 11 116.728 117464520bps
1000 83847200 10 114.89 83847200bps
1000 83847200 10 107.937 83847200bps
1000 83847200 10 106.512 83847200bps
1000 83847200 10 106.203 83847200bps
1000 92521048 9 104.573 92521048bps
1000 115651312 12 101.447 115651312bps
2000 115651312 12 114.327 115651312bps
2000 115651312 12 120.615 115651312bps
2000 83847200 10 118.455 83847200bps
2000 53423520 9 107.073 53423520bps
2000 53423520 9 100.578 53423520bps
2000 53423520 9 95.512 53423520bps
2000 58950096 9 91.612 58950096bps
3000 73687624 12 102.444 73687624bps
3000 73687624 12 124.032 73687624bps
3000 73687624 12 129.875 73687624bps
3000 73687624 11 127.102 73687624bps
3000 58950096 8 109.63 58950096bps
3000 58919184 8 90.111 58919184bps
3000 58919184 8 84.484 58919184bps
4000 58919184 8 83.736 58919184bps
4000 73648984 11 81.853 73648984bps
4000 73648984 11 97.433 73648984bps
4000 73648984 9 108.763 73648984bps
4000 58919184 7 96.646 58919184bps
4000 64854376 7 81.275 64854376bps
4000 64854376 7 77.983 64854376bps
5000 81067976 10 77.567 81067976bps
5000 81067976 10 89.05 81067976bps
5000 64854376 4 78.477 64854376bps
5000 64854376 4 59.431 64854376bps
5000 64854376 7 58.601 64854376bps
5000 64854376 6 67.067 64854376bps
5000 64854376 6 66.562 64854376bps
6000 81067976 8 65.884 81067976bps
6000 81067976 9 74.661 81067976bps
6000 58774280 7 87.261 58774280bps
6000 64854376 7 80.85 64854376bps
6000 64854376 7 76.561 64854376bps
6000 64854376 7 76.466 64854376bps
6000 81067976 8 80.392 81067976bps
6000 81067976 8 85.223 81067976bps
7000 54622352 8 71.202 54622352bps
7000 54622352 8 70.748 54622352bps
7000 54622352 8 77.521 54622352bps
7000 68277936 10 82.596 68277936bps
7000 68277936 8 86.97 68277936bps
7000 54622352 6 86.046 54622352bps
7000 49398136 6 73.69 49398136bps
8000 49398136 6 69.217 49398136bps
8000 61747672 8 67.079 61747672bps
8000 61747672 8 75.829 61747672bps
8000 44767064 7 77.844 44767064bps
8000 55580632 9 63.577 55580632bps
8000 55580632 9 68.27 55580632bps
8000 55580632 9 87.443 55580632bps
9000 69475792 11 90.767 69475792bps
9000 69475792 9 99.895 69475792bps
9000 71330544 9 94.785 71330544bps
9000 57064432 8 86.842 57064432bps
9000 57064432 8 84.583 57064432bps
9000 57064432 8 85.413 57064432bps
9000 71330544 10 86.688 71330544bps
