t_ms pacing_bps cwnd rtt_ms raw_pacing
0 99816392 8 51.178 99816392bps
0 99816392 8 74.398 99816392bps
0 124770496 14 75.292 124770496bps
0 124770496 14 126.432 124770496bps
1000 90458608 11 148.865 90458608bps
1000 62668288 10 132.392 62668288bps
1000 62668288 10 132.244 62668288bps
1000 69151216 7 124.024 69151216bps
1000 86439016 10 115.691 86439016bps
2000 86439016 10 123.707 86439016bps
2000 86439016 10 123.802 86439016bps
2000 49861824 9 93.409 49861824bps
2000 49861824 9 92.878 49861824bps
2000 62327288 11 110.517 62327288bps
3000 62327288 11 125.714 62327288bps
3000 49861824 9 125.516 49861824bps
3000 47574304 9 92.793 47574304bps
3000 47574304 9 107.085 47574304bps
4000 47574304 9 117.084 47574304bps
4000 59467880 11 119.296 59467880bps
4000 59467880 11 136.023 59467880bps
4000 44112104 8 120.698 44112104bps
4000 44112104 8 102.469 44112104bps
5000 52149352 4 75.178 52149352bps
5000 52149352 8 70.674 52149352bps
5000 52149352 7 76.121 52149352bps
5000 65186688 9 88.35 65186688bps
5000 65186688 9 104.011 65186688bps
6000 52149352 7 107.824 52149352bps
6000 52149352 7 98.63 52149352bps
6000 52149352 7 93.384 52149352bps
6000 65186688 8 91.557 65186688bps
6000 47260352 6 102.372 47260352bps
7000 49490880 6 80.626 49490880bps
7000 49490880 6 77.972 49490880bps
7000 62056800 8 79.317 62056800bps
7000 49645440 8 88.291 49645440bps
8000 49645440 8 94.842 49645440bps
8000 49645440 8 101.702 49645440bps
8000 62056800 8 113.698 62056800bps
8000 49645440 6 104.877 49645440bps
8000 40526256 6 88.39 40526256bps
9000 40526256 6 82.078 40526256bps
9000 50657824 9 94.249 50657824bps
9000 45379520 9 93.939 45379520bps
9000 45379520 9 80.779 45379520bps
10000 45379520 12 106.195 45379520bps
10000 45379520 4 138.26 45379520bps
10000 48408944 10 76.557 48408944bps
10000 48408944 10 84.89 48408944bps
10000 48408944 10 117.67 48408944bps
11000 48408944 10 126.811 48408944bps
11000 60511176 12 137.886 60511176bps
11000 60511176 12 153.311 60511176bps
11000 43870600 10 141.514 43870600bps
12000 43870600 10 134.914 43870600bps
12000 43870600 10 132.496 43870600bps
12000 48408944 8 131.562 48408944bps
12000 60511176 12 112.623 60511176bps
12000 60511176 12 138.973 60511176bps
13000 60511176 12 149.532 60511176bps
13000 36474792 9 147.617 36474792bps
13000 36474792 9 113.583 36474792bps
13000 40248048 9 90.922 40248048bps
14000 50310056 11 83.785 50310056bps
14000 50310056 11 94.478 50310056bps
14000 36474792 10 126.058 36474792bps
14000 36222664 10 109.532 36222664bps
14000 39969832 12 87.888 39969832bps
15000 39969832 12 79.013 39969832bps
15000 49962296 14 81.023 49962296bps
15000 49962296 14 109.63 49962296bps
15000 43246560 4 109.388 43246560bps
15000 43246560 12 75.769 43246560bps
15000 43246560 9 60.068 43246560bps
16000 43246560 9 72.343 43246560bps
16000 54058192 11 90.426 54058192bps
16000 54058192 11 114.603 54058192bps
16000 54058192 13 135.153 54058192bps
16000 43772072 13 133.35 43772072bps
17000 43772072 13 103.439 43772072bps
17000 43772072 13 124.575 43772072bps
17000 43772072 13 143.418 43772072bps
17000 43772072 13 162.017 43772072bps
17000 54715088 16 166.203 54715088bps
18000 57304008 16 187.529 57304008bps
18000 57304008 16 164.226 57304008bps
18000 57304008 16 196.447 57304008bps
18000 41545400 13 201.18 41545400bps
18000 41545400 13 154.82 41545400bps
19000 41545400 13 142.396 41545400bps
19000 41545400 13 144.316 41545400bps
19000 41545400 13 153.574 41545400bps
19000 57304008 13 162.771 57304008bps
19000 57304008 13 163.109 57304008bps
20000 57304008 13 166.634 57304008bps
20000 41545400 10 155.785 41545400bps
20000 39248216 10 119.268 39248216bps
20000 39248216 10 102.273 39248216bps
20000 43308384 4 72.213 43308384bps
21000 43308384 10 54.91 43308384bps
21000 43308384 9 71.781 43308384bps
21000 43308384 9 88.666 43308384bps
21000 54135480 14 98.27 54135480bps
21000 54135480 14 135.066 54135480bps
22000 39248216 11 170.481 39248216bps
22000 39248216 11 129.816 39248216bps
22000 39248216 11 106.391 39248216bps
22000 54135480 13 97.837 54135480bps
23000 54135480 14 122.394 54135480bps
23000 54946928 14 167.218 54946928bps
23000 41181216 11 153.97 41181216bps
23000 41181216 11 141.876 41181216bps
24000 41181216 11 141.247 41181216bps
24000 45441344 11 144.885 45441344bps
24000 56801680 14 159.059 56801680bps
24000 56801680 14 171.332 56801680bps
25000 41181216 12 168.239 41181216bps
25000 39612408 12 118.751 39612408bps
25000 39612408 12 98.513 39612408bps
25000 54637808 14 90.612 54637808bps
25000 54637808 15 102.7 54637808bps
26000 43710240 4 151.818 43710240bps
26000 43710240 4 120.878 43710240bps
26000 43710240 9 75.545 43710240bps
26000 43710240 9 78.446 43710240bps
26000 43710240 9 93.293 43710240bps
26000 54637808 13 102.638 54637808bps
27000 54637808 13 116.298 54637808bps
27000 54637808 13 149.124 54637808bps
27000 54637808 13 161.461 54637808bps
27000 39612408 10 171.461 39612408bps
27000 39612408 10 144.428 39612408bps
28000 39612408 10 135.154 39612408bps
28000 39612408 10 132.272 39612408bps
28000 54637808 11 131.786 54637808bps
28000 54637808 11 143.451 54637808bps
29000 40000744 11 115.534 40000744bps
29000 40000744 11 95.345 40000744bps
29000 40000744 11 88.528 40000744bps
29000 50425976 12 88.131 50425976bps
30000 50425976 12 113.254 50425976bps
30000 36558832 10 139.117 36558832bps
30000 36558832 11 116.83 36558832bps
30000 40340784 12 87.72 40340784bps
31000 50425976 14 80.449 50425976bps
31000 50425976 14 105.437 50425976bps
31000 44544880 4 118.289 44544880bps
31000 44544880 10 74.744 44544880bps
31000 44544880 10 79.597 44544880bps
32000 44544880 10 109.563 44544880bps
32000 55681104 12 124.81 55681104bps
32000 55681104 12 146.448 55681104bps
32000 55681104 12 151.993 55681104bps
32000 40368800 10 127.958 40368800bps
33000 40368800 10 125.36 40368800bps
33000 40368800 10 128.776 40368800bps
33000 44544880 10 130.683 44544880bps
33000 55681104 12 139.046 55681104bps
34000 55681104 12 153.173 55681104bps
34000 36194648 11 128.099 36194648bps
34000 36194648 11 106.473 36194648bps
34000 49923648 14 71.034 49923648bps
34000 49923648 14 99.066 49923648bps
35000 39192192 13 151.469 39192192bps
35000 39192192 13 139.852 39192192bps
35000 39192192 11 127.61 39192192bps
35000 54058192 13 113.084 54058192bps
36000 54058192 14 151.141 54058192bps
36000 56299352 14 164.164 56299352bps
36000 40817032 11 170.564 40817032bps
36000 45039480 4 101.277 45039480bps
37000 45039480 11 73.642 45039480bps
37000 45039480 11 86.464 45039480bps
37000 45039480 9 125.357 45039480bps
37000 56299352 13 118.98 56299352bps
37000 56299352 13 139.506 56299352bps
38000 40817032 10 149.9 40817032bps
38000 51036504 15 115.109 51036504bps
38000 51036504 15 138.333 51036504bps
38000 51036504 15 182.965 51036504bps
38000 51036504 15 192.471 51036504bps
39000 63795624 18 202.627 63795624bps
39000 63795624 18 224.373 63795624bps
39000 63795624 18 235.804 63795624bps
39000 46251832 15 220.481 46251832bps
40000 39892552 13 171.012 39892552bps
40000 39892552 13 154.173 39892552bps
40000 39892552 13 148.264 39892552bps
40000 44019368 13 146.775 44019368bps
40000 55024208 16 153.331 55024208bps
40000 55024208 14 194.238 55024208bps
41000 55024208 14 175.793 55024208bps
41000 39780496 12 148.414 39780496bps
41000 39780496 12 120.661 39780496bps
41000 43895720 4 107.476 43895720bps
42000 43895720 10 68.03 43895720bps
42000 43895720 10 71.799 43895720bps
42000 43895720 9 101.727 43895720bps
42000 54869648 13 105.838 54869648bps
43000 54869648 13 120.457 54869648bps
43000 54869648 13 148.181 54869648bps
43000 45657728 13 133.641 45657728bps
43000 45657728 13 106.802 45657728bps
43000 45657728 13 126.31 45657728bps
44000 45657728 13 160.216 45657728bps
44000 57072160 16 163.37 57072160bps
44000 57072160 16 194.696 57072160bps
44000 57072160 16 205.58 57072160bps
45000 42102792 13 163.901 42102792bps
45000 42102792 13 120.332 42102792bps
45000 42102792 13 105.046 42102792bps
45000 42102792 13 116.327 42102792bps
45000 42102792 13 129.992 42102792bps
45000 52628496 16 149.157 52628496bps
