t_ms pacing_bps cwnd rtt_ms raw_pacing
0 77806712 9 30.954 77806712bps
0 77806712 12 61.425 77806712bps
0 86462200 13 81.804 86462200bps
0 86462200 13 110.755 86462200bps
1000 86462200 13 133.787 86462200bps
1000 108077752 15 144.052 108077752bps
1000 108077752 15 164.549 108077752bps
1000 108077752 15 181.496 108077752bps
1000 108077752 15 194.922 108077752bps
1000 78356368 10 206.585 78356368bps
1000 78356368 10 183.076 78356368bps
2000 78356368 11 152.198 78356368bps
2000 78356368 12 143.994 78356368bps
2000 78356368 12 159.066 78356368bps
2000 86462200 12 158.896 86462200bps
2000 108077752 14 158.04 108077752bps
2000 108077752 14 165.462 108077752bps
3000 108077752 14 180.688 108077752bps
3000 108077752 14 185.372 108077752bps
3000 108077752 14 187.712 108077752bps
3000 78356368 12 191.177 78356368bps
3000 38127640 9 178.555 38127640bps
3000 42071880 9 141.225 42071880bps
3000 42071880 9 114.818 42071880bps
4000 42071880 9 108.685 42071880bps
4000 42071880 9 117.028 42071880bps
4000 52589856 11 110.583 52589856bps
4000 52589856 11 129.465 52589856bps
4000 52589856 11 136.018 52589856bps
4000 42071880 9 139.984 42071880bps
4000 40959032 9 112.071 40959032bps
5000 40959032 9 101.772 40959032bps
5000 40959032 9 105.94 40959032bps
5000 40959032 4 112.54 40959032bps
5000 51809312 4 72.554 51809312bps
5000 51809312 9 66.231 51809312bps
5000 51809312 9 78.23 51809312bps
6000 51809312 9 99.434 51809312bps
6000 51809312 9 116.376 51809312bps
6000 51809312 9 118.47 51809312bps
6000 64761640 11 119.457 64761640bps
6000 64761640 11 140.396 64761640bps
6000 64761640 11 142.943 64761640bps
6000 46952192 9 142.139 46952192bps
7000 46952192 9 126.315 46952192bps
7000 46952192 9 119.801 46952192bps
7000 46952192 9 116.706 46952192bps
7000 51809312 9 115.055 51809312bps
7000 64761640 11 115.992 64761640bps
7000 64761640 13 137.253 64761640bps
7000 64761640 13 130.669 64761640bps
8000 46952192 11 155.376 46952192bps
8000 41293272 10 144.849 41293272bps
8000 41293272 10 141.412 41293272bps
8000 41293272 10 159.37 41293272bps
8000 41293272 10 169.933 41293272bps
8000 45564992 10 151.558 45564992bps
9000 56956240 13 144.363 56956240bps
9000 56956240 8 149.22 56956240bps
9000 61979520 15 118.536 61979520bps
9000 61979520 15 130.665 61979520bps
9000 44935152 13 177.533 44935152bps
9000 44935152 13 180.481 44935152bps
9000 44935152 13 167.013 44935152bps
10000 44935152 13 180.048 44935152bps
10000 44935152 13 170.589 44935152bps
10000 44935152 13 173.601 44935152bps
10000 49583616 16 176.724 49583616bps
10000 49583616 4 190.507 49583616bps
10000 49583616 4 173.643 49583616bps
10000 49583616 12 106.995 49583616bps
11000 49583616 12 98.246 49583616bps
11000 49583616 12 117.756 49583616bps
11000 49583616 12 141.901 49583616bps
11000 49583616 11 156.313 49583616bps
11000 49583616 11 150.113 49583616bps
11000 49583616 11 153.489 49583616bps
12000 61979520 13 149.958 61979520bps
12000 61979520 13 156.058 61979520bps
12000 61979520 14 164.817 61979520bps
12000 61979520 14 177.509 61979520bps
12000 44935152 13 177.27 44935152bps
12000 40144680 12 174.671 40144680bps
12000 40144680 12 166.274 40144680bps
13000 40144680 12 155.819 40144680bps
13000 40144680 12 155.054 40144680bps
13000 44297584 12 164.687 44297584bps
13000 55371976 15 154.767 55371976bps
13000 55371976 15 175.939 55371976bps
13000 55371976 15 194.706 55371976bps
14000 55371976 15 200.827 55371976bps
14000 40144680 10 201.357 40144680bps
14000 41144504 13 140.692 41144504bps
