t_ms pacing_bps cwnd rtt_ms raw
0 34797384 13 13.546 34797384bps
0 34797384 13 13.546 34797384bps
0 34797384 13 13.546 34797384bps
1000 34797384 13 13.546 34797384bps
1000 34797384 13 13.546 34797384bps
1000 34797384 13 13.546 34797384bps
1000 34797384 13 13.546 34797384bps
1000 34797384 13 13.546 34797384bps
1000 34797384 13 13.546 34797384bps
1000 34797384 13 13.546 34797384bps
1000 34797384 13 13.546 34797384bps
2000 34797384 13 13.546 34797384bps
2000 34797384 13 13.546 34797384bps
2000 34797384 13 13.546 34797384bps
2000 34797384 13 13.546 34797384bps
2000 34797384 13 13.546 34797384bps
2000 34797384 13 13.546 34797384bps
2000 34797384 13 13.546 34797384bps
2000 34797384 13 13.546 34797384bps
2000 34797384 13 13.546 34797384bps
3000 34797384 13 13.546 34797384bps
3000 34797384 13 13.546 34797384bps
3000 34797384 13 13.546 34797384bps
3000 34797384 13 13.546 34797384bps
3000 34797384 13 13.546 34797384bps
3000 34797384 13 13.546 34797384bps
3000 34797384 13 13.546 34797384bps
3000 34797384 13 13.546 34797384bps
3000 34797384 13 13.546 34797384bps
4000 34797384 13 13.546 34797384bps
4000 34797384 13 13.546 34797384bps
4000 34797384 13 13.546 34797384bps
4000 34797384 13 13.546 34797384bps
4000 34797384 13 13.546 34797384bps
4000 34797384 13 13.546 34797384bps
4000 34797384 13 13.546 34797384bps
4000 34797384 13 13.546 34797384bps
4000 34797384 13 13.546 34797384bps
5000 34797384 13 13.546 34797384bps
5000 34797384 13 13.546 34797384bps
5000 34797384 13 13.546 34797384bps
5000 34797384 13 13.546 34797384bps
5000 34797384 13 13.546 34797384bps
5000 34797384 13 13.546 34797384bps
5000 34797384 13 13.546 34797384bps
5000 34797384 13 13.546 34797384bps
5000 34797384 13 13.546 34797384bps
6000 34797384 13 13.546 34797384bps
6000 34797384 13 13.546 34797384bps
6000 34797384 13 13.546 34797384bps
6000 34797384 13 13.546 34797384bps
6000 34797384 13 13.546 34797384bps
6000 34797384 13 13.546 34797384bps
6000 34797384 13 13.546 34797384bps
6000 34797384 13 13.546 34797384bps
6000 34797384 13 13.546 34797384bps
7000 34797384 13 13.546 34797384bps
7000 34797384 13 13.546 34797384bps
7000 34797384 13 13.546 34797384bps
7000 34797384 13 13.546 34797384bps
7000 34797384 13 13.546 34797384bps
7000 34797384 13 13.546 34797384bps
7000 34797384 13 13.546 34797384bps
7000 34797384 13 13.546 34797384bps
7000 34797384 13 13.546 34797384bps
8000 34797384 13 13.546 34797384bps
8000 34797384 13 13.546 34797384bps
8000 34797384 13 13.546 34797384bps
8000 34797384 13 13.546 34797384bps
8000 34797384 13 13.546 34797384bps
8000 34797384 13 13.546 34797384bps
8000 34797384 13 13.546 34797384bps
8000 34797384 13 13.546 34797384bps
8000 34797384 13 13.546 34797384bps
9000 34797384 13 13.546 34797384bps
9000 34797384 13 13.546 34797384bps
9000 34797384 13 13.546 34797384bps
9000 34797384 13 13.546 34797384bps
9000 34797384 13 13.546 34797384bps
9000 34797384 13 13.546 34797384bps
9000 34797384 13 13.546 34797384bps
9000 34797384 13 13.546 34797384bps
10000 34797384 13 13.546 34797384bps
10000 34797384 13 13.546 34797384bps
10000 34797384 13 13.546 34797384bps
10000 34797384 13 13.546 34797384bps
10000 34797384 13 13.546 34797384bps
10000 34797384 13 13.546 34797384bps
10000 34797384 13 13.546 34797384bps
10000 34797384 13 13.546 34797384bps
10000 34797384 13 13.546 34797384bps
11000 34797384 13 13.546 34797384bps
11000 34797384 13 13.546 34797384bps
11000 34797384 13 13.546 34797384bps
11000 34797384 13 13.546 34797384bps
11000 34797384 13 13.546 34797384bps
11000 34797384 13 13.546 34797384bps
11000 34797384 13 13.546 34797384bps
11000 34797384 13 13.546 34797384bps
11000 34797384 13 13.546 34797384bps
12000 34797384 13 13.546 34797384bps
12000 34797384 13 13.546 34797384bps
12000 34797384 13 13.546 34797384bps
12000 34797384 13 13.546 34797384bps
12000 34797384 13 13.546 34797384bps
12000 34797384 13 13.546 34797384bps
12000 34797384 13 13.546 34797384bps
12000 34797384 13 13.546 34797384bps
12000 34797384 13 13.546 34797384bps
13000 34797384 13 13.546 34797384bps
13000 34797384 13 13.546 34797384bps
13000 34797384 13 13.546 34797384bps
13000 34797384 13 13.546 34797384bps
13000 34797384 13 13.546 34797384bps
13000 34797384 13 13.546 34797384bps
13000 34797384 13 13.546 34797384bps
13000 34797384 13 13.546 34797384bps
13000 34797384 13 13.546 34797384bps
14000 34797384 13 13.546 34797384bps
14000 34797384 13 13.546 34797384bps
14000 34797384 13 13.546 34797384bps
14000 34797384 13 13.546 34797384bps
14000 34797384 13 13.546 34797384bps
14000 34797384 13 13.546 34797384bps
14000 34797384 13 13.546 34797384bps
14000 34797384 13 13.546 34797384bps
14000 34797384 13 13.546 34797384bps
15000 34797384 13 13.546 34797384bps
15000 34797384 13 13.546 34797384bps
15000 34797384 13 13.546 34797384bps
15000 34797384 13 13.546 34797384bps
15000 34797384 13 13.546 34797384bps
15000 34797384 13 13.546 34797384bps
15000 34797384 13 13.546 34797384bps
15000 34797384 13 13.546 34797384bps
15000 34797384 13 13.546 34797384bps
16000 34797384 13 13.546 34797384bps
16000 34797384 13 13.546 34797384bps
16000 34797384 13 13.546 34797384bps
16000 34797384 13 13.546 34797384bps
16000 34797384 13 13.546 34797384bps
16000 34797384 13 13.546 34797384bps
16000 34797384 13 13.546 34797384bps
16000 34797384 13 13.546 34797384bps
16000 34797384 13 13.546 34797384bps
17000 34797384 13 13.546 34797384bps
17000 34797384 13 13.546 34797384bps
17000 34797384 13 13.546 34797384bps
17000 34797384 13 13.546 34797384bps
17000 34797384 13 13.546 34797384bps
17000 34797384 13 13.546 34797384bps
17000 34797384 13 13.546 34797384bps
18000 34797384 13 13.546 34797384bps
18000 34797384 13 13.546 34797384bps
18000 34797384 13 13.546 34797384bps
18000 34797384 13 13.546 34797384bps
18000 34797384 13 13.546 34797384bps
18000 34797384 13 13.546 34797384bps
18000 34797384 13 13.546 34797384bps
18000 34797384 13 13.546 34797384bps
19000 34797384 13 13.546 34797384bps
19000 34797384 13 13.546 34797384bps
19000 34797384 13 13.546 34797384bps
19000 34797384 13 13.546 34797384bps
19000 34797384 13 13.546 34797384bps
19000 34797384 13 13.546 34797384bps
19000 34797384 13 13.546 34797384bps
19000 34797384 13 13.546 34797384bps
19000 34797384 13 13.546 34797384bps
20000 34797384 13 13.546 34797384bps
20000 34797384 13 13.546 34797384bps
20000 34797384 13 13.546 34797384bps
20000 34797384 13 13.546 34797384bps
20000 34797384 13 13.546 34797384bps
20000 34797384 13 13.546 34797384bps
20000 34797384 13 13.546 34797384bps
20000 34797384 13 13.546 34797384bps
20000 34797384 13 13.546 34797384bps
21000 34797384 13 13.546 34797384bps
21000 34797384 13 13.546 34797384bps
21000 34797384 13 13.546 34797384bps
21000 34797384 13 13.546 34797384bps
21000 34797384 13 13.546 34797384bps
21000 34797384 13 13.546 34797384bps
21000 34797384 13 13.546 34797384bps
21000 34797384 13 13.546 34797384bps
21000 34797384 13 13.546 34797384bps
22000 34797384 13 13.546 34797384bps
