t_ms pacing_bps cwnd rtt_ms raw_pacing
0 77775800 9 30.927 77775800bps
0 77775800 12 61.325 77775800bps
0 86462200 13 81.798 86462200bps
1000 86462200 13 113.415 86462200bps
1000 86462200 13 137.568 86462200bps
1000 108077752 15 144.057 108077752bps
1000 108077752 15 173.555 108077752bps
1000 108077752 15 189.476 108077752bps
1000 108077752 15 193.059 108077752bps
1000 78356368 10 200.142 78356368bps
2000 78356368 11 160.241 78356368bps
2000 78356368 12 153.013 78356368bps
2000 78356368 12 148.088 78356368bps
2000 78356368 12 152.679 78356368bps
2000 78356368 12 156.007 78356368bps
2000 86462200 12 159.568 86462200bps
2000 108077752 14 158.901 108077752bps
3000 108077752 14 177.094 108077752bps
3000 108077752 14 189.223 108077752bps
3000 108077752 14 188.022 108077752bps
3000 78356368 12 182.412 78356368bps
3000 40144680 9 164.368 40144680bps
3000 40144680 9 123.213 40144680bps
4000 40144680 9 107.348 40144680bps
4000 44297584 9 101.817 44297584bps
4000 55371976 12 114.879 55371976bps
4000 55371976 12 148.439 55371976bps
4000 55371976 12 152.641 55371976bps
4000 40144680 9 150.6 40144680bps
4000 38127640 8 129.383 38127640bps
5000 42071880 8 118.183 42071880bps
5000 43246560 8 108.187 43246560bps
5000 54058192 10 106.89 54058192bps
5000 46306888 4 112.59 46306888bps
5000 46306888 4 81.561 46306888bps
5000 46306888 7 66.917 46306888bps
5000 46306888 7 81.003 46306888bps
6000 46306888 7 88.985 46306888bps
6000 46306888 6 91.658 46306888bps
6000 57883616 9 88.694 57883616bps
6000 57883616 11 104.606 57883616bps
6000 57883616 13 130.789 57883616bps
6000 57883616 13 125.952 57883616bps
7000 57883616 13 155.966 57883616bps
7000 46306888 11 148.556 46306888bps
7000 46306888 11 128.59 46306888bps
7000 46306888 11 141.115 46306888bps
7000 46306888 11 144.888 46306888bps
7000 46306888 11 146.69 46306888bps
7000 46306888 11 148.349 46306888bps
8000 57883616 14 149.049 57883616bps
8000 57883616 14 161.728 57883616bps
8000 57883616 14 177.34 57883616bps
8000 57883616 14 172.116 57883616bps
8000 41965624 11 139.207 41965624bps
8000 40116664 11 148.447 40116664bps
8000 40116664 11 150.318 40116664bps
9000 40116664 11 144.819 40116664bps
9000 40116664 11 148.849 40116664bps
9000 40116664 11 145.06 40116664bps
9000 44266664 11 146.216 44266664bps
9000 55333336 14 150.603 55333336bps
9000 55333336 14 160.809 55333336bps
10000 55333336 12 178.271 55333336bps
10000 55333336 12 171.227 55333336bps
10000 55333336 12 168.751 55333336bps
10000 40116664 12 164.906 40116664bps
10000 40144680 13 161.153 40144680bps
10000 44297584 4 146.11 44297584bps
10000 44297584 4 112.447 44297584bps
11000 44297584 13 82.737 44297584bps
11000 44297584 10 75.028 44297584bps
11000 44297584 10 83.818 44297584bps
11000 44297584 10 110.259 44297584bps
11000 44297584 10 123.079 44297584bps
11000 44297584 10 130.485 44297584bps
11000 55371976 11 134.999 55371976bps
12000 55371976 12 143.166 55371976bps
12000 55371976 13 156.488 55371976bps
12000 40144680 10 151.881 40144680bps
12000 36390744 9 142.106 36390744bps
12000 36390744 10 121.024 36390744bps
12000 36390744 10 108.008 36390744bps
13000 36390744 10 99.283 36390744bps
13000 50194136 13 88.142 50194136bps
13000 50194136 13 92.799 50194136bps
13000 50194136 13 120.318 50194136bps
13000 37287208 11 151.141 37287208bps
13000 37287208 11 156.042 37287208bps
13000 37287208 11 145.818 37287208bps
14000 37287208 11 139.236 37287208bps
14000 37287208 11 136.245 37287208bps
14000 41144504 11 119.502 41144504bps
14000 51430632 13 118.303 51430632bps
14000 51430632 13 143.87 51430632bps
14000 51430632 13 156.849 51430632bps
14000 40172696 13 171.528 40172696bps
15000 40200712 13 129.424 40200712bps
15000 40200712 13 114.42 40200712bps
15000 40200712 13 121.256 40200712bps
15000 44359408 13 130.87 44359408bps
15000 55449256 16 141.401 55449256bps
15000 55449256 16 171.532 55449256bps
16000 55449256 16 193.861 55449256bps
16000 44359408 4 201.046 44359408bps
16000 44359408 4 143.41 44359408bps
16000 44359408 12 105.619 44359408bps
16000 44359408 10 96.203 44359408bps
16000 44359408 10 108.454 44359408bps
16000 44359408 10 125.365 44359408bps
17000 44359408 10 130.923 44359408bps
17000 44359408 10 133.826 44359408bps
17000 55449256 11 135.469 55449256bps
17000 55449256 12 142.953 55449256bps
17000 55449256 12 145.566 55449256bps
17000 40200712 10 155.006 40200712bps
18000 39192192 10 152.191 39192192bps
18000 39192192 10 143.778 39192192bps
18000 39192192 10 140.429 39192192bps
18000 39192192 10 138.438 39192192bps
18000 43246560 10 137.518 43246560bps
18000 54058192 12 137.273 54058192bps
18000 54058192 14 151.848 54058192bps
19000 54058192 14 147.25 54058192bps
19000 39192192 12 171.443 39192192bps
19000 38155656 13 162.022 38155656bps
19000 38155656 13 148.899 38155656bps
19000 38155656 13 143.556 38155656bps
19000 38155656 13 139.91 38155656bps
19000 38155656 13 134.944 38155656bps
20000 42102792 13 131.956 42102792bps
20000 52628496 15 136.149 52628496bps
20000 52628496 15 156.69 52628496bps
20000 52628496 12 190.475 52628496bps
20000 52628496 12 183.978 52628496bps
20000 34569808 11 161.353 34569808bps
20000 38424208 12 122.127 38424208bps
21000 38424208 12 88.091 38424208bps
21000 48648512 15 75.217 48648512bps
21000 48648512 15 84.345 48648512bps
21000 47759776 4 124.443 47759776bps
21000 47759776 4 87.972 47759776bps
21000 47759776 14 70.212 47759776bps
22000 47759776 14 75.309 47759776bps
22000 47759776 10 110.176 47759776bps
22000 47759776 10 124.636 47759776bps
22000 47759776 10 131.342 47759776bps
22000 47759776 10 134.081 47759776bps
22000 59699720 13 134.875 59699720bps
22000 59699720 16 154.04 59699720bps
23000 59699720 16 147.88 59699720bps
23000 43282296 13 190.061 43282296bps
23000 43282296 13 174.646 43282296bps
23000 43282296 13 171.192 43282296bps
23000 43282296 13 177.221 43282296bps
23000 43282296 13 169.507 43282296bps
23000 43282296 13 175.176 43282296bps
24000 47759776 13 175.97 47759776bps
24000 59699720 16 178.127 59699720bps
24000 59699720 16 172.772 59699720bps
24000 59699720 16 193.98 59699720bps
24000 59699720 14 204.666 59699720bps
24000 59699720 14 206.632 59699720bps
24000 39192192 11 183.577 39192192bps
25000 39192192 11 153.821 39192192bps
25000 39192192 11 151.546 39192192bps
25000 39192192 11 152.629 39192192bps
25000 39192192 11 146.076 39192192bps
25000 43246560 11 149.801 43246560bps
25000 54058192 13 149.041 54058192bps
26000 54058192 13 166.63 54058192bps
26000 54058192 13 171.323 54058192bps
26000 39192192 11 170.223 39192192bps
26000 37287208 13 143.653 37287208bps
26000 37287208 13 116.627 37287208bps
26000 37287208 13 104.637 37287208bps
26000 41144504 4 90.334 41144504bps
27000 41144504 4 69.627 41144504bps
27000 41144504 13 59.462 41144504bps
27000 41144504 10 72.783 41144504bps
27000 41144504 10 83.275 41144504bps
27000 41144504 10 99.052 41144504bps
27000 51430632 12 119.799 51430632bps
27000 51430632 12 131.475 51430632bps
28000 51430632 13 148.408 51430632bps
28000 51430632 13 159.361 51430632bps
28000 37287208 11 164.03 37287208bps
28000 37259192 11 151.765 37259192bps
28000 37259192 11 147.127 37259192bps
28000 37259192 11 142.29 37259192bps
29000 37259192 11 129.472 37259192bps
29000 51391992 13 117.705 51391992bps
29000 51391992 13 128.329 51391992bps
29000 51391992 13 162.064 51391992bps
29000 51391992 13 159.114 51391992bps
29000 37287208 11 171.997 37287208bps
29000 37287208 11 154.256 37287208bps
30000 37287208 11 148.66 37287208bps
30000 37287208 11 142.81 37287208bps
30000 37287208 11 129.575 37287208bps
30000 51430632 13 117.13 51430632bps
30000 51430632 13 126.204 51430632bps
30000 51430632 14 161.715 51430632bps
30000 51430632 14 157.092 51430632bps
31000 37287208 12 177.909 37287208bps
31000 40144680 12 162.392 40144680bps
