t_ms pacing_bps cwnd rtt_ms raw_pacing
0 77806712 9 30.956 77806712bps
0 77806712 12 61.36 77806712bps
0 86524032 13 81.801 86524032bps
0 86524032 13 113.415 86524032bps
1000 108155040 15 137.563 108155040bps
1000 108155040 15 155.504 108155040bps
1000 108155040 15 176.274 108155040bps
1000 108155040 15 179.333 108155040bps
1000 78412400 13 189.208 78412400bps
1000 78412400 13 176.916 78412400bps
2000 78412400 13 179.319 78412400bps
2000 78412400 13 171.978 78412400bps
2000 78412400 13 169.364 78412400bps
2000 86524032 13 174.65 86524032bps
2000 86524032 13 173.176 86524032bps
2000 108155040 14 172.127 108155040bps
2000 108155040 14 179.136 108155040bps
3000 108155040 17 188.06 108155040bps
3000 78412400 15 178.616 78412400bps
3000 78412400 18 205.519 78412400bps
3000 41321288 11 168.684 41321288bps
3000 41685472 11 149.719 41685472bps
3000 41685472 11 147.713 41685472bps
3000 41685472 11 151.916 41685472bps
4000 45997768 11 148.196 45997768bps
4000 57497208 14 150.806 57497208bps
4000 57497208 14 169.959 57497208bps
4000 57497208 14 180.63 57497208bps
4000 41685472 11 184.893 41685472bps
4000 41685472 11 166.288 41685472bps
4000 41685472 11 131.491 41685472bps
5000 41685472 10 129.519 41685472bps
5000 41685472 10 134.761 41685472bps
5000 45997768 4 120.484 45997768bps
5000 51840224 4 84.352 51840224bps
5000 51840224 9 69.987 51840224bps
5000 51840224 9 87.12 51840224bps
6000 51840224 9 100.773 51840224bps
6000 51840224 9 111.899 51840224bps
6000 51840224 9 117.545 51840224bps
6000 64800280 11 118.547 64800280bps
6000 64800280 11 130.486 64800280bps
6000 64800280 11 140.47 64800280bps
6000 51840224 12 144.977 51840224bps
7000 51840224 12 120.687 51840224bps
7000 51840224 12 144.479 51840224bps
7000 51840224 12 146.487 51840224bps
7000 51840224 12 156.418 51840224bps
7000 51840224 12 162.223 51840224bps
7000 64800280 14 157.332 64800280bps
7000 64800280 14 178.633 64800280bps
8000 64800280 14 182.173 64800280bps
8000 64800280 14 178.629 64800280bps
8000 46980200 12 180.238 46980200bps
8000 40144680 11 151.619 40144680bps
8000 40144680 11 149.653 40144680bps
8000 40144680 11 151.533 40144680bps
9000 40144680 11 151.947 40144680bps
9000 44297584 11 147.507 44297584bps
9000 55371976 12 149.721 55371976bps
9000 55371976 12 158.424 55371976bps
9000 55371976 12 163.833 55371976bps
9000 44297584 10 154.692 44297584bps
9000 42071880 11 114.199 42071880bps
10000 42071880 11 103.495 42071880bps
10000 42071880 11 113.828 42071880bps
10000 42071880 13 131.001 42071880bps
10000 52589856 16 144.686 52589856bps
10000 52589856 13 169.793 52589856bps
10000 47141528 4 149.046 47141528bps
10000 47141528 11 99.161 47141528bps
11000 47141528 10 85.147 47141528bps
11000 47141528 10 96.591 47141528bps
11000 47141528 10 119.871 47141528bps
11000 47141528 10 128.006 47141528bps
11000 47141528 10 132.708 47141528bps
11000 58926912 11 134.632 58926912bps
12000 58926912 12 144.664 58926912bps
12000 58926912 13 155.059 58926912bps
12000 42722008 10 153.786 42722008bps
12000 42722008 10 142.731 42722008bps
12000 42722008 10 131.126 42722008bps
12000 42722008 10 131.426 42722008bps
12000 42722008 10 131.455 42722008bps
13000 47141528 10 126.52 47141528bps
13000 58926912 13 136.151 58926912bps
13000 58926912 13 135.335 58926912bps
13000 58926912 13 162.928 58926912bps
13000 58926912 13 169.078 58926912bps
13000 42722008 11 158.872 42722008bps
13000 37931544 11 154.034 37931544bps
14000 37931544 11 149.357 37931544bps
14000 37931544 11 145.91 37931544bps
14000 37931544 11 142.83 37931544bps
14000 41855496 11 140.319 41855496bps
14000 52319368 13 144.952 52319368bps
14000 52667136 14 162.4 52667136bps
15000 52667136 14 165.929 52667136bps
15000 38183672 12 180.838 38183672bps
15000 38183672 12 162.94 38183672bps
15000 38183672 12 154.401 38183672bps
15000 38183672 12 150.074 38183672bps
15000 38183672 12 148.137 38183672bps
15000 42133704 12 146.882 42133704bps
16000 42133704 4 136.632 42133704bps
16000 42133704 4 96.467 42133704bps
16000 42133704 10 78.69 42133704bps
