t_ms pacing_bps cwnd rtt_ms raw_pacing
0 77806712 9 30.927 77806712bps
0 77806712 12 61.357 77806712bps
0 86524032 13 81.804 86524032bps
0 86524032 13 113.424 86524032bps
1000 108155040 15 137.548 108155040bps
1000 108155040 15 155.49 108155040bps
1000 108155040 15 176.275 108155040bps
1000 108155040 15 189.122 108155040bps
1000 78412400 13 188.474 78412400bps
1000 78412400 13 176.942 78412400bps
2000 78412400 13 179.387 78412400bps
2000 78412400 13 174.682 78412400bps
2000 78412400 13 169.631 78412400bps
2000 78412400 13 168.313 78412400bps
2000 86524032 12 174.544 86524032bps
2000 86524032 12 172.127 86524032bps
2000 108155040 15 157.205 108155040bps
3000 108155040 16 188.671 108155040bps
3000 108155040 16 184.89 108155040bps
3000 78412400 14 200.315 78412400bps
3000 78412400 14 197.879 78412400bps
3000 41797536 11 175.189 41797536bps
3000 41797536 11 137.15 41797536bps
3000 41797536 11 132.13 41797536bps
4000 41797536 11 138.256 41797536bps
4000 46121416 11 148.155 46121416bps
4000 57651768 13 147.384 57651768bps
4000 57651768 13 164.695 57651768bps
4000 57651768 13 171.274 57651768bps
4000 41797536 10 173.092 41797536bps
5000 40200712 10 140.121 40200712bps
5000 40200712 10 121.232 40200712bps
5000 40200712 10 128.308 40200712bps
5000 44359408 4 111.61 44359408bps
5000 44359408 4 82.33 44359408bps
5000 44359408 8 69.825 44359408bps
5000 44359408 8 77.878 44359408bps
6000 44359408 8 97.106 44359408bps
6000 44359408 7 100.25 44359408bps
6000 55449256 10 94.812 55449256bps
6000 55449256 10 121.554 55449256bps
6000 55449256 10 128.872 55449256bps
6000 44359408 9 124.224 44359408bps
6000 39475232 9 92.281 39475232bps
7000 39475232 9 83.834 39475232bps
7000 39475232 9 84.877 39475232bps
7000 49344040 11 86.918 49344040bps
7000 49344040 11 97.302 49344040bps
7000 49344040 11 128.143 49344040bps
7000 35774432 7 135.205 35774432bps
7000 41979144 10 110.784 41979144bps
8000 41979144 10 97.999 41979144bps
8000 41979144 10 98.112 41979144bps
8000 41979144 10 119.183 41979144bps
8000 52473928 12 128.749 52473928bps
8000 52473928 12 140.697 52473928bps
8000 52473928 12 148.502 52473928bps
9000 38043600 10 160.242 38043600bps
9000 34849952 8 149.752 34849952bps
9000 38455120 9 120.239 38455120bps
9000 38455120 9 102.383 38455120bps
9000 38455120 9 91.214 38455120bps
9000 48068904 11 87.408 48068904bps
9000 48068904 11 87.205 48068904bps
10000 48068904 11 115.696 48068904bps
10000 34962008 9 130.28 34962008bps
10000 34962008 11 112.659 34962008bps
10000 38578768 12 90.47 38578768bps
10000 48609872 14 77.103 48609872bps
10000 48648512 15 77.841 48648512bps
10000 48648512 15 101.525 48648512bps
11000 35270168 12 145.545 35270168bps
11000 39164176 13 157.971 39164176bps
11000 39164176 13 127.94 39164176bps
11000 39164176 12 123.998 39164176bps
11000 39164176 12 129.506 39164176bps
11000 43215640 4 134.976 43215640bps
11000 43215640 4 107.466 43215640bps
12000 43215640 10 79.701 43215640bps
12000 43215640 10 78.955 43215640bps
12000 43215640 10 90.113 43215640bps
12000 43215640 10 116.252 43215640bps
12000 43215640 10 126.305 43215640bps
12000 54019552 12 132.08 54019552bps
13000 54019552 12 142.092 54019552bps
13000 54019552 12 149.348 54019552bps
13000 39164176 10 160.1 39164176bps
13000 35270168 9 148.79 35270168bps
13000 35270168 9 125.831 35270168bps
13000 35270168 9 112.121 35270168bps
13000 38918808 11 91.248 38918808bps
14000 48648512 13 84.695 48648512bps
14000 48648512 14 85.068 48648512bps
14000 48648512 14 104.54 48648512bps
14000 48648512 14 144.086 48648512bps
14000 35270168 11 165.844 35270168bps
14000 34849952 12 129.566 34849952bps
14000 38455120 12 110.139 38455120bps
15000 38455120 12 75.634 38455120bps
15000 48068904 15 68.642 48068904bps
15000 48068904 15 88.144 48068904bps
15000 48068904 15 119.107 48068904bps
15000 40060640 14 163.184 40060640bps
15000 40060640 14 130.689 40060640bps
16000 40060640 14 132.652 40060640bps
16000 40060640 14 136.398 40060640bps
16000 40060640 14 141.381 40060640bps
16000 44204840 14 146.567 44204840bps
16000 55256056 16 166.631 55256056bps
16000 55256056 16 185.576 55256056bps
16000 55256056 16 206.277 55256056bps
17000 55256056 16 210.077 55256056bps
17000 44204840 4 213.03 44204840bps
17000 44204840 4 132.463 44204840bps
17000 44204840 10 86.576 44204840bps
17000 44204840 10 85.675 44204840bps
17000 44204840 10 98.809 44204840bps
17000 44204840 10 118.452 44204840bps
18000 44204840 10 128.569 44204840bps
18000 55256056 13 132.67 55256056bps
18000 55256056 13 135.542 55256056bps
18000 55256056 14 162.535 55256056bps
18000 55256056 14 161.832 55256056bps
18000 40144680 12 170.75 40144680bps
19000 40144680 12 153.343 40144680bps
19000 40144680 12 155.545 40144680bps
19000 40144680 12 159.295 40144680bps
19000 40144680 12 158.867 40144680bps
19000 44297584 12 159.969 44297584bps
19000 55371976 15 161.033 55371976bps
19000 55371976 15 164.351 55371976bps
20000 55371976 15 186.327 55371976bps
20000 55371976 15 195.03 55371976bps
20000 55371976 15 196.139 55371976bps
20000 40144680 11 202.199 40144680bps
20000 40144680 13 182.188 40144680bps
20000 40060640 13 135.999 40060640bps
20000 40060640 13 123.307 40060640bps
21000 40060640 13 130.133 40060640bps
21000 44204840 13 137.154 44204840bps
21000 55256056 15 143.098 55256056bps
21000 55256056 16 155.768 55256056bps
21000 55256056 16 197.246 55256056bps
21000 55256056 16 204.2 55256056bps
22000 55256056 16 208.455 55256056bps
22000 40060640 13 205.516 40060640bps
22000 42750024 15 150.048 42750024bps
22000 42750024 15 140.839 42750024bps
22000 47172440 4 137.541 47172440bps
22000 47172440 4 88.866 47172440bps
22000 47172440 14 73.655 47172440bps
23000 47172440 14 79.922 47172440bps
23000 47172440 14 112.139 47172440bps
23000 47172440 14 151.273 47172440bps
23000 47172440 10 174.064 47172440bps
23000 58965552 15 146.525 58965552bps
23000 58965552 15 144.406 58965552bps
23000 58965552 15 175.746 58965552bps
24000 58965552 15 192.268 58965552bps
24000 58965552 15 200.274 58965552bps
24000 58965552 15 201.661 58965552bps
24000 58965552 15 202.938 58965552bps
24000 42750024 12 201.645 42750024bps
24000 38127640 12 166.773 38127640bps
24000 41489376 12 155.132 41489376bps
25000 41489376 12 154.372 41489376bps
25000 41489376 12 157.59 41489376bps
25000 45781376 12 159.278 45781376bps
25000 45781376 12 159.709 45781376bps
25000 57226728 15 155.966 57226728bps
25000 57226728 15 157.412 57226728bps
26000 57226728 15 193.349 57226728bps
26000 57226728 15 193.967 57226728bps
26000 41489376 12 189.191 41489376bps
26000 41489376 12 156.24 41489376bps
26000 41489376 12 157.491 41489376bps
26000 41489376 12 159.077 41489376bps
26000 41489376 12 156.313 41489376bps
27000 41489376 12 155.699 41489376bps
27000 45781376 12 155.923 45781376bps
27000 57226728 15 158.975 57226728bps
27000 57226728 15 167.029 57226728bps
27000 57226728 15 193.251 57226728bps
27000 57226728 15 196.309 57226728bps
27000 45781376 4 182.418 45781376bps
28000 45781376 4 117.718 45781376bps
28000 45781376 11 85.452 45781376bps
28000 45781376 10 86.843 45781376bps
28000 45781376 10 107.018 45781376bps
28000 45781376 10 123.888 45781376bps
28000 45781376 10 130.214 45781376bps
28000 57226728 12 133.531 57226728bps
29000 57226728 11 136.224 57226728bps
29000 57226728 16 138.013 57226728bps
29000 57226728 16 140.205 57226728bps
29000 41489376 13 180.374 41489376bps
29000 41797536 13 160.142 41797536bps
29000 41797536 13 151.311 41797536bps
30000 41797536 13 159.092 41797536bps
30000 41797536 13 171.825 41797536bps
30000 41797536 13 164.572 41797536bps
30000 46121416 13 171.003 46121416bps
30000 523782848 14 38.185 523782848bps
30000 523782848 16 47.409 523782848bps
