t_ms pacing_bps cwnd rtt_ms raw
0 48041432 33 8.004 48041432bps
0 19831992 34 8.103 19831992bps
0 13339584 21 8.057 13339584bps
0 16674480 23 8.099 16674480bps
1000 7193568 14 8.045 7193568bps
1000 7193568 14 8.046 7193568bps
1000 7193568 14 8.043 7193568bps
1000 7187584 14 8.048 7187584bps
1000 7187584 14 8.053 7187584bps
1000 7182456 14 8.053 7182456bps
1000 7176472 13 8.043 7176472bps
1000 5740496 11 8.069 5740496bps
1000 7193568 13 8.065 7193568bps
2000 7199544 13 8.058 7199544bps
2000 7199544 12 8.043 7199544bps
2000 7208088 13 8.058 7208088bps
2000 7172200 13 8.065 7172200bps
2000 5737760 10 8.075 5737760bps
2000 5740496 10 8.044 5740496bps
2000 5737080 10 8.055 5737080bps
2000 5741176 10 8.057 5741176bps
3000 5740496 10 8.06 5740496bps
3000 5748016 10 8.053 5748016bps
3000 5754168 10 8.058 5754168bps
3000 7173056 12 8.062 7173056bps
3000 5744600 10 8.06 5744600bps
3000 5755536 10 8.044 5755536bps
3000 7194416 12 8.058 7194416bps
3000 5754168 10 8.045 5754168bps
3000 5743912 10 8.052 5743912bps
4000 7182456 12 8.051 7182456bps
4000 7189296 13 8.058 7189296bps
4000 7187584 13 8.048 7187584bps
4000 7176472 13 8.041 7176472bps
4000 7173056 12 8.032 7173056bps
4000 7176472 10 8.068 7176472bps
4000 7179040 10 8.05 7179040bps
4000 7183312 10 8.051 7183312bps
4000 7183312 10 8.051 7183312bps
5000 7179040 10 8.056 7179040bps
5000 7179040 10 8.094 7179040bps
5000 7215776 10 8.05 7215776bps
5000 7181600 10 8.048 7181600bps
5000 7181600 10 8.067 7181600bps
5000 7187584 10 8.04 7187584bps
5000 7187584 10 8.047 7187584bps
5000 7193568 10 8.051 7193568bps
5000 5769208 8 8.047 5769208bps
6000 5769208 8 8.049 5769208bps
6000 5741864 8 8.062 5741864bps
6000 5741864 8 8.046 5741864bps
6000 5740496 8 8.067 5740496bps
6000 5745280 8 8.064 5745280bps
6000 5745280 8 8.07 5745280bps
6000 5745280 8 8.056 5745280bps
6000 5752120 8 8.049 5752120bps
6000 5740496 8 8.05 5740496bps
7000 5748016 8 8.053 5748016bps
7000 5752120 8 8.064 5752120bps
7000 5741864 8 8.047 5741864bps
7000 5752120 8 8.067 5752120bps
7000 5741864 8 8.057 5741864bps
7000 5754168 8 8.056 5754168bps
7000 5739816 8 8.058 5739816bps
7000 5745280 8 8.052 5745280bps
7000 5740496 8 8.048 5740496bps
8000 5738448 8 8.072 5738448bps
8000 5754168 8 8.043 5754168bps
8000 5745280 8 8.08 5745280bps
8000 5747328 8 8.046 5747328bps
8000 5750064 8 8.059 5750064bps
8000 5746648 8 8.042 5746648bps
8000 5746648 8 8.054 5746648bps
8000 5743912 8 8.047 5743912bps
8000 5743912 8 8.053 5743912bps
9000 5752120 8 8.048 5752120bps
9000 5212856 8 8.055 5212856bps
9000 7177328 10 8.047 7177328bps
9000 5743232 4 8.011 5743232bps
9000 5758272 4 8.02 5758272bps
9000 5758272 8 8.051 5758272bps
9000 5758272 8 8.061 5758272bps
9000 5755536 8 8.077 5755536bps
9000 5741864 8 8.048 5741864bps
10000 5743232 8 8.056 5743232bps
