t_ms pacing_bps cwnd rtt_ms raw
0 47556104 32 8.052 47556104bps
1000 17146992 27 8.064 17146992bps
1000 9555416 9 8.054 9555416bps
1000 5744600 8 8.076 5744600bps
1000 5754168 8 8.056 5754168bps
1000 5745280 8 8.049 5745280bps
1000 5753480 8 8.057 5753480bps
1000 5738448 8 8.05 5738448bps
1000 5739816 8 8.048 5739816bps
2000 5738448 8 8.043 5738448bps
2000 5750752 8 8.05 5750752bps
2000 5750752 8 8.068 5750752bps
2000 5745280 8 8.051 5745280bps
2000 5745280 8 8.05 5745280bps
2000 5737760 8 8.067 5737760bps
2000 5754848 8 8.058 5754848bps
2000 5745280 8 8.065 5745280bps
2000 5750064 8 8.052 5750064bps
3000 5750064 8 8.055 5750064bps
3000 5746648 8 8.049 5746648bps
3000 5739128 8 8.047 5739128bps
3000 5742544 8 8.054 5742544bps
3000 5748016 8 8.062 5748016bps
3000 5748016 8 8.072 5748016bps
3000 5203560 8 8.041 5203560bps
3000 5739128 8 8.057 5739128bps
3000 5207280 8 8.046 5207280bps
4000 5745968 8 8.045 5745968bps
4000 5741176 8 8.05 5741176bps
4000 5202944 8 8.053 5202944bps
4000 7181600 10 8.049 7181600bps
4000 7181600 10 8.065 7181600bps
4000 7185016 10 8.047 7185016bps
4000 7185016 10 8.054 7185016bps
4000 7180744 10 8.052 7180744bps
4000 7185016 10 8.067 7185016bps
5000 7171352 10 8.07 7171352bps
5000 7199544 10 8.05 7199544bps
5000 5740496 8 8.06 5740496bps
5000 7179040 10 8.055 7179040bps
5000 5204800 8 8.056 5204800bps
5000 7179896 10 8.049 7179896bps
5000 7183312 11 8.578 7183312bps
5000 7195272 12 8.09 7195272bps
5000 7195272 11 8.054 7195272bps
6000 7182456 11 8.055 7182456bps
6000 5748016 4 8.012 5748016bps
6000 5755536 4 7.996 5755536bps
6000 5755536 9 8.039 5755536bps
6000 5755536 8 8.044 5755536bps
6000 5745280 8 8.045 5745280bps
6000 5745280 8 8.046 5745280bps
6000 5745280 8 8.045 5745280bps
6000 5740496 8 8.077 5740496bps
7000 5743232 8 8.057 5743232bps
7000 5745968 8 8.064 5745968bps
7000 5745280 8 8.061 5745280bps
7000 5752800 8 8.062 5752800bps
7000 5746648 8 8.048 5746648bps
7000 5739816 8 8.049 5739816bps
7000 5739816 8 8.05 5739816bps
7000 5741176 8 8.047 5741176bps
7000 5764424 8 8.056 5764424bps
8000 5740496 8 8.042 5740496bps
8000 5743232 8 8.069 5743232bps
8000 5738448 8 8.052 5738448bps
8000 5738448 8 8.047 5738448bps
8000 5741864 8 8.052 5741864bps
8000 5750064 8 8.063 5750064bps
8000 5740496 9 8.403 5740496bps
8000 5739816 9 8.06 5739816bps
8000 5766472 9 8.076 5766472bps
9000 5771256 9 8.06 5771256bps
9000 5752800 9 8.072 5752800bps
9000 5740496 9 8.059 5740496bps
9000 5756216 9 8.05 5756216bps
9000 5749384 9 8.086 5749384bps
9000 5743232 9 8.052 5743232bps
9000 5745280 9 8.055 5745280bps
9000 5737760 9 8.059 5737760bps
9000 5740496 9 8.049 5740496bps
10000 5740496 9 8.065 5740496bps
10000 5202320 9 8.049 5202320bps
10000 7175624 11 8.049 7175624bps
10000 7181600 11 8.051 7181600bps
10000 7183312 11 8.046 7183312bps
10000 7183312 10 8.057 7183312bps
10000 7181600 11 8.05 7181600bps
10000 7181600 10 8.061 7181600bps
11000 7177328 11 8.054 7177328bps
11000 7179040 10 8.048 7179040bps
11000 7183312 10 8.049 7183312bps
11000 5740496 8 8.051 5740496bps
11000 7183312 10 8.045 7183312bps
11000 7183312 10 8.057 7183312bps
11000 7174768 10 8.071 7174768bps
11000 7180744 10 8.058 7180744bps
11000 7180744 10 8.062 7180744bps
12000 7180744 10 8.053 7180744bps
12000 7196984 10 8.053 7196984bps
12000 7196984 10 8.055 7196984bps
12000 7181600 10 8.052 7181600bps
12000 7183312 10 8.049 7183312bps
12000 7179040 10 8.054 7179040bps
12000 7185872 10 8.069 7185872bps
12000 5748696 8 8.051 5748696bps
12000 5745280 8 8.067 5745280bps
13000 5745280 4 8.012 5745280bps
13000 5745280 4 7.999 5745280bps
13000 7181600 10 8.069 7181600bps
13000 7180744 10 8.047 7180744bps
13000 5740496 8 8.05 5740496bps
13000 5740496 8 8.053 5740496bps
13000 7183312 10 8.058 7183312bps
13000 5745280 8 8.062 5745280bps
13000 5743232 8 8.05 5743232bps
14000 5748016 8 8.062 5748016bps
14000 5748016 8 8.057 5748016bps
14000 5739816 8 8.042 5739816bps
14000 5769888 8 8.048 5769888bps
14000 5743232 8 8.064 5743232bps
14000 5745968 8 8.048 5745968bps
14000 5740496 8 8.057 5740496bps
14000 5751432 8 8.063 5751432bps
14000 5744600 8 8.062 5744600bps
15000 5744600 8 8.057 5744600bps
15000 5743232 8 8.062 5743232bps
15000 5738448 8 8.061 5738448bps
15000 5747328 8 8.047 5747328bps
15000 5747328 8 8.05 5747328bps
15000 5744600 8 8.05 5744600bps
15000 5739816 8 8.049 5739816bps
15000 5741176 8 8.048 5741176bps
15000 5745968 10 8.074 5745968bps
16000 5750752 9 8.051 5750752bps
16000 5738448 9 8.053 5738448bps
16000 5742544 9 8.057 5742544bps
16000 5748016 9 8.065 5748016bps
16000 5748016 9 8.054 5748016bps
16000 5751432 8 8.054 5751432bps
16000 5749384 9 8.053 5749384bps
16000 5749384 8 8.047 5749384bps
16000 5740496 9 8.049 5740496bps
17000 5740496 9 8.058 5740496bps
17000 5739816 9 8.05 5739816bps
17000 5741176 9 8.06 5741176bps
17000 5746648 8 8.049 5746648bps
17000 5745280 8 8.049 5745280bps
17000 5747328 8 8.071 5747328bps
17000 5747328 8 8.053 5747328bps
17000 5738448 8 8.047 5738448bps
17000 5746648 8 8.033 5746648bps
18000 7183312 11 8.05 7183312bps
18000 7184168 11 8.052 7184168bps
18000 7184168 11 8.053 7184168bps
18000 7171352 11 8.126 7171352bps
18000 5208520 8 8.051 5208520bps
18000 7184168 11 8.049 7184168bps
18000 5207896 10 8.078 5207896bps
18000 5746648 9 8.047 5746648bps
19000 5207280 9 8.051 5207280bps
19000 5209136 9 8.069 5209136bps
19000 5748016 9 8.06 5748016bps
19000 7180744 12 8.068 7180744bps
19000 7185016 12 8.047 7185016bps
19000 7185016 12 8.097 7185016bps
19000 5214096 9 8.074 5214096bps
19000 7173912 11 8.028 7173912bps
19000 7174768 11 8.043 7174768bps
20000 7178184 11 8.067 7178184bps
20000 7178184 11 8.052 7178184bps
20000 7175624 11 8.044 7175624bps
20000 7180744 11 8.056 7180744bps
20000 7185016 11 8.065 7185016bps
20000 7186728 11 8.078 7186728bps
20000 7185872 11 8.045 7185872bps
20000 7179040 11 8.075 7179040bps
20000 7189296 11 8.049 7189296bps
21000 7179040 11 8.048 7179040bps
21000 7179040 11 8.055 7179040bps
21000 7178184 11 8.051 7178184bps
21000 7181600 11 8.063 7181600bps
21000 7184168 10 8.076 7184168bps
21000 5750752 9 8.068 5750752bps
21000 7188440 10 8.059 7188440bps
21000 7175624 10 8.054 7175624bps
21000 5740496 8 8.067 5740496bps
22000 5740496 8 8.052 5740496bps
22000 5745968 8 8.048 5745968bps
22000 5740496 8 8.062 5740496bps
22000 5748016 8 8.061 5748016bps
22000 5748016 9 8.073 5748016bps
22000 5741176 9 8.058 5741176bps
22000 5746648 9 8.074 5746648bps
22000 5745968 9 8.057 5745968bps
22000 5748016 9 8.051 5748016bps
23000 5748016 9 8.071 5748016bps
23000 5745280 10 21.484 5745280bps
